BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
56.24	Lettres d’Aspasie, traduites du grec	MÉHÉGAN, Guillaume-Alexandre, chevalier de
56.25	L’empire des passions ou mémoires de Mr. de Gersan, par Mr. Perin (sic)	PERRIN, Jacques-Antoine-René
56.3	Histoire de Nicolas I, roy du Paraguai et empereur des Mamelus
56.30	Le temps perdu ou histoire de M. de C***	THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de
56.31	Mémoires de Lucile, par M. le baron de V-S. et publiés par M. le chevalier de N.	VAREILLES-SOMMIÈRES, Auguste-Jean-François-Antoine de Labroue, baron de
56.4	Le moine galant ou la vie de dom F..., bernardin, écrite par lui-même
56.5	Nouvelle brochure ou frivolités importantes
56.7	La poissardiana ou les amours de Royal Vilain et de Mamzelle Javotte la Déhanchée. Dédié à monseigneur Mardi-Gras. Par M. de Fortengueule	CAILLEAU, André-Charles
56.8	Histoire de madame la comtesse de Montglas ou consolation pour les religieuses qui le sont malgré elles	CARNÉ, de
56.9	L’amant salamandre ou les aventures de l’infortunée Julie, histoire véritable	COINTREAU
57.1	Histoire d’un peuple nouveau ou découverte d’une isle à 43. degrés 14. minutes de latitude méridionale par David Tompson, capitaine du vaisseau le Boston, à son retour de la Chine en 1756, ouvrage traduit de l’anglois
57.10	Nouveau mémoire pour servir à l’histoire des Cacouacs	MOREAU, Jacob-Nicolas
57.12	Lettres de mistriss Fanni Butlerd à milord Charles Alfred de Caitombridge, Comte de Plisinte, duc de Raflingth, écrites en 1735, traduites de l’anglois en 1756 par Adélaïde de Varançai	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
57.14	Le danger des passions ou anecdotes syriennes et égyptiennes, traduction nouvelle par l’auteur de l’Ecole de l’amitié	THIBOUVILLE, Henri de Lambert d’Herbigny, marquis de
57.15	L’école de l’amitié	THIBOUVILLE, Henri de Lambert d’Herbigny, marquis de
57.16	Poliergie ou mélange de littérature et de poésies par M. de V***	VATTEL, Emerich de
57.17	Mémoires de mesdemoiselles de Marsange par l’auteur de la Jardinière de Vlncennes	VILLENEUVE, Gabrielle-Suzanne Barbot de
57.2	Le siège de Mahon ou la fureur anglaise, roman historique par l’auteur D.P.B.
57.3	Mademoiselle Javotte, ouvrage moral écrit par elle-même et publié par une de ses amies	BARET, Paul
57.9	Lettres galantes et morales du marquis de *** au comte de ***	MOISSY, Alexandre-Guillaume Mouslier de
58.1	Conte phrygien, âne de Sylène
58.12	La dernière guerre des bêtes, fable pour servir à l’histoire du XVIIIe siècle, par l’auteur d’Abassaï	FALQUES, Marianne-Agnès
58.13	Lettres parisiennes sur le désir d’être heureux	JACQUIN, abbé Armand-Pierre
58.15	Mes fragments	LAMBERG, Maximilien, Graf von
58.17	Histoire de M. le marquis de Cressy, traduite de l’anglois par Madame de ***	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
58.18	La reine Fantasque, conte cacouac, par Mr R.C. de G.	ROUSSEAU, Jean-Jacques
58.19	Mémoires de monsieur de Bordeaux, intendant des finances, par M. G.D.C.	SANDRAS DE COURTILZ, Catien de
58.2	Delphinie
58.20	Mémoires de Schach-Tamas II, empereur de Perse, écrits par lui-même & adressés à son fils	TALLEMAND, abbé
58.3	Les frivolités galantes
58.4	Histoire de Julie
58.5	Voyage dans les espaces	ABBES DE CABREROLES, d’
58.7	Les aventures de Victoire Ponty	BASTIDE, Jean-François de
58.8	Les pensées errantes, avec quelques lettres d’un Indien par Madame de	BENOUVILLE, madame de
58.9	L’univers perdu et reconquis par l’amour, suivi d’Iphis et Amarante ou l’amour vengé	CARNÉ, de
59.1	La Champenoise ou mémoires de madame la marquise de ***, écrits par elle-même
59.10	Le livre d’airain, histoire indienne	BRICAIRE DE LA DIXMERIE, Nicolas
59.12	L’histoire de madame la marquise de Pompadour, traduite de l’anglois	FALQUES, Marianne-Agnès
59.13	Le mage de Chica	GRAILLARD DE GRAVILLE, Barthélemy-Claude
59.17	Lettres curieuses, instructives & amusantes ou correspondance historique, galante, critique, morale, philosophique, littéraire &c. entre une dame de Paris et une dame de province, contenant un grand nombre d’histoires, anecdotes & aventures aussi vraies que curieuses et intéressantes,...	LEPRINCE DE BEAUMONT, madame Marie
59.18	Joujou de nouvelle façon ou contes amusans et instructifs à la portée et à l’usage des plus petits enfans	LOS RIOS, Charlotte-Marie
59.19	Mon radotage et celui des autres, recueilli par un invalide retiré du monde pendant son Carnaval	MARCHAND, Jean-Henri
59.22	Lettres de milady Juliette Catesby à milady Henriette Campley son amie	RICCOBONI, Marie-Jeanne Laboras de Mézières, madame
59.23	L’espion ou l’histoire du faux baron de Maubert, auteur de plusieurs libelles qui ont paru pendant cette guerre, pour lesquels il a été exilé de la Hollande	SAINT-FLOUR
59.24	Bigarrures philosophiques	TIPHAIGNE DE LA ROCHE, Charles-François
59.25	Candide ou l’Optimisme, traduit de l’allemand de Mr. le docteur Ralph	VOLTAIRE, François-Marie Arouet de
59.26	Relation de la maladie, de la confession, de la mort et de l’apparition du Jésuite Bertier	VOLTAIRE, François-Marie Arouet de
59.27	Les femmes de mérite, histoires françoises	YON, le chevalier
59.5	Origine du rouge que portent les dames, conte dédié au beau sexe
59.7	Callophile, histoire traduite de scythe en latin par un vieux philosophe visigoth et mise en françois par un jeune avocat du Languedoc	BARTHEZ (avocat)
59.8	Mes principes ou la vertu raisonnée, par madame B***	BENOIST, Françoise-Albine Puzin de La Martinière, madame
59.9	L’isle taciturne et l’isle enjouée ou voyage du génie Alaciel dans les deux isles	BRICAIRE DE LA DIXMERIE, Nicolas
60.1	Conseil de lanternes ou la véritable vision de Charles Palissot, pour servir de post-scriptum à la comédie des Filosofes
60.10	Les amours de Carite et de Polydore, roman traduit du grec	BARTHÉLEMY, abbé Jean-Jacques
60.11	Œuvres mêlées	BEAUMER, madame de
60.14	Relation de Phihihu, émissaire de l’empereur de la Chine en Europe, traduit du chinois	FRÉDÉRIC II, le Grand, roi de Prusse
60.15	Les céramiques ou les aventures de Nicias et d’Antiope par monsieur de SI S.	GALTIER, Jean-Louis, dit Galtier de Saint-Symphorien
60.18	Anecdotes galantes ou le moraliste à la mode, par M. J. Ha***	HACOT, Joseph
60.2	Lettres sylphiques
60.20	Mémoires de niiledi B ..., par madame R ...	LA GUESNERIE, Charlotte-Marie-Anne Charbonnier de
60.21	Daïra, histoire orientale en quatre parties	LA POPELINIÈRE, Alexandre-Jean-Joseph Le Riche de
60.23	Magasin des adolescentes ou dialogues entre une sage gouvernante & plusieurs de ses élèves de la première distinction, par madame Le Prince de Beaumont	LEPRINCE DE BEAUMONT, madame Marie
60.24	Les sauvages de l’Europe	LESUIRE, Robert-Martin
60.25	Testament histori-morali-politique de monsieur R***, écrit & publié par lui-même	MARCHAND, Jean-Henri
60.28	Le monde moral ou mémoires pour servir à l’histoire du cœur humain par M ..., ancien résident de France dans plusieurs cours étrangères	PRÉVOST, abbé Antoine-François
60.29	Le cosmopolite ou les contradictions, histoire, conte, roman, & tout ce que l’on voudra, avec des notes, traduit de l’allemand	RABELLEAU
60.3	Méridor ou le faux comte de ***, anecdote écrite par la comtesse de ***, son épouse, et rédigée par le sieur F.C. de L***
60.30	Anecdotes morales sur la fatuité, suivies de recherches & de réflexions critiques sur les petits-maîtres anciens et modernes	THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de
60.31	Candide, ou l’Optimisme, traduit de l’allemand de Mr.le Docteur Ralph. Seconde partie	THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de
60.32	Giphantie	TIPHAIGNE DE LA ROCHE, Charles-François
60.33	Tant mieux pour elle, conte plaisant	VOISENON, Claude-Henri de Fusée, abbé de
60.34	Relation de la maladie, de la confession, de la mort et de l’apparition du Jésuite Bertier, avec la relation du voyage de Frère Garassise & ce qui s’ensuit, en attendant ce qui s’ensuivra	VOLTAIRE, François-Marie Arouet de
60.4	Nouvelles amoureuses ou le beau sexe abusé
60.5	Le père honoré, conte
60.6	Le rhume à la mode, histoire nouvelle des trois commères ou le voyage de Dieppe par M. J***
60.7	Tant pis pour elles, tant pis pour eux et tant mieux pour eux, tant mieux pour elles, ou le voyage impromptu, bagatelle nouvelle
61.11	Agnez de Saint Amour ou la fervente novice, par le R. P. Michel-Ange Marin, religieux minime	MARIN, le père Michel-Ange
61.12	Contes moraux par monsieur Marmontel, suivis d’une Apologie du théâtre	MARMONTEL, Jean-François
61.13	La raison du temps ou la folie raisonnée par le baron de Fernuntsberg, Allemand francisé	MERAY, chevalier de
61.15	La petite-nièce d’Eschyle, histoire athéniene (sic) traduite d’un manuscrit grec intitulé [écriture cyrillique, non reconnu], Fragmens de l’histoire anecdote des gens de lettres	NEUFVILLE DE BRUNABOIS-MONTADOR, chevalier Jean-Florent-Joseph de
61.17	Les aventures de Periphas, descendant de Cécrops, par M. Puget de S. Pierre	PUGET DE SAINT-PIERRE
61.18	Lettres de deux amans, habitans d’une petite ville au pied des Alpes, recueillies et publiées par J .-J. Rousseau	ROUSSEAU, Jean-Jacques
61.19	Les amours de Mirtil	SACY, Claude-Louis-Michel de
61.2	Les Capucins sans barbe, histoire napolitaine arrivée en
61.22	Mémoires d’un Frivolité par l’auteur ambulant	TACONNET, Toussaint-Gaspard
61.25	Le voyageur philosophe dans un pais inconnu aux habitants de la terre, par Mr de Listonai	VILLENEUVE DE LISTONAY
61.26	Seconde suite de mélanges de littérature, d’histoire, de philosophie	VOLTAIRE, François-Marie Arouet de
61.3	Le philosophe sérieux, histoire comique
61.6	La reine de Golconde, conte	BOUFFLERS, Stanislas-Jean, marquis de
61.8	Honny soit qui mal y pense, ou histoires des filles célèbres du XVIIIe siècle	JULLIEN, Jean-Auguste, dit Desboulmiers
61.9	Mémoires du comte de Guine par M***	LE BLANC DE GUILLET, Antoine Blanc, dit
62.1	La blondine ou aventures nocturnes entre les hommes et les femmes
62.10	Les amusemens des dames de B***, histoire honnête et presque édifiante, composée par feu le chevalier de Cil***** et publiée par l’auteur du Colporteur	CHEVRIER, François-Antoine
62.11	Le colporteur, histoire morale et critique par M. de Chevrier	CHEVRIER, François-Antoine
62.13	Suite de l’histoire du chevalier des Grieux et de Manon Lescaut	COURCELLES
62.14	Floricourt, histoire française	DORAT, Claude-Joseph
62.15	Les Zelindiens	FALQUES, Marianne-Agnès
62.2	La force du tempérament ou aventures galantes du comte de Monrevel
62.20	Lettres et mémoires de mademoiselle de G*** et du comte de S. Fl***	HUERNE DE LA MOTHE, François-Charles
62.21	Les promenades et rendez-vous du parc de Versailles	HUERNE DE LA MOTHE, François-Charles
62.22	Les soirées du Palais-Royal ou les veillées d’une jolie femme, contenant quatre lettres à une amie, avec la Conversation des chaises du Palais-Royal Sous l’arbre de Cracovie	JULLIEN, Jean-Auguste, dit Desboulmiers
62.23	Les succès d’un fat, nouvelle	KÉRAUO, Marie-Françoise Abeille, madame de
62.27	La Farfalla ou la comedienne convertie, par le R.P. Michel Ange Marin de l’ordre des Minimes	MARIN, le père Michel-Ange
62.28	Théodule ou l’enfant de la bénédiction	MARIN, le père Michel-Ange
62.3	Lettres de Bendé à Monreset
62.30	Alzarac ou la nécessité d’être inconstant	PUISIEUX, Madeleine d’Arsant, madame de
62.32	La paysanne philosophe ou les aventures de madame la comtesse de ***	ROBERT, Marie-Anne de Roumier, madame
62.33	Émile ou de l’éducation	ROUSSEAU, Jean-Jacques
62.36	Le Jésuite misopogon séraphique ou l’ennemi de la barbe des Capucins par l’alguasil Dom-Diego Balayas y Caramuera	TAUPIN D’ORVAL, Jean-Louis-Claude
62.37	Les usages par monsieur Tr. D. V., citoyen de Bordeaux	TRESSAC DE VERGY, Pierre-Henri
62.38	Rousseau, fils naturel de Jean-Jacques Rousseau, par M. Vincent, avocat	VINCENT, Jean-Louis
62.4	Lettres de mademoiselle de Jussy à mademoiselle de ***
62.5	Lettres galantes de deux dames de notre tems
62.6	Le Pythagore moderne ou les aventures de Go***, ouvrage dédié aux dames philosophes, par M. V.. C.....avocat
62.7	Rêve d’un Aristarque moderne
62.9	La petite maison	BASTIDE, Jean-François de
63.1	Les botaniques ou les parties de plaisir des Étudiants en médecine de l’Université de Pau, dans la recherche des plantes, ouvrage utile à toutes sortes de personnes, par M. ***, licencié en médecine
63.10	Nouvelles monacales ou les avantures divertissantes de frère Maurice, publiées par le Sr. D***
63.11	Le pauvre diable provincial ou les lettres écrites à M. de *** par le Sr. F.C. de L****‘
63.12	Philochore et Agathon, histoire traduite du grec d’Hyponax, poète satirique qui vivoit à Ephèse dans la LX. olympiade, environ 538 avant J.C.
63.14	La religieuse en chemise ou la none éclairée
63.16	Zaîde ou la comédienne parvenue
63.17	Contes de monsieur de Bastide	BASTIDE, Jean-François de
63.18	L’élève de la nature	BEAURIEU, Gaspard Guillard de
63.19	Ollivier, poème	CAZOTTE, Jacques
63.2	Confidences à une amie ou aventures galantes d’un militaire écrites par lui-même
63.21	Le noble, conte moral	CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
63.23	L’enfant trouvé ou mémoires de Menneville	CONTANT D’ORVILLE, André-Guillaume
63.25	Le hazard du coin du feu, dialogue moral	CRÉBILLON, Claude-Prosper Jolyot de
63.26	L’ Arretin	DULAURENS, abbé Henri-Joseph L’Arrétin
63.3	Les deux cousines ou le mariage du chevalier de ***
63.30	L’optique ou le Chinois à Memphis, essais traduits de l’égyptien	GUÉRINEAU DE SAINT-PÉRAVI, Jean-Nicolas-Marcellin
63.32	L’enfantement de Jupiter ou la fille sans mère	HUERNE DE LA MOTHE, François-Charles
63.33	Mémoires du chevalier Berville ou les deux amis retirés du monde	LECH
63.38	Henriette de Marconne, ou mémoires du chevalier de Présac	PERRIN, Jacques-Antoine-René
63.39	La voix de la nature ou les aventures de madame la marquise de *** par mad. de R.R., auteur de la Paysanne philosophe	ROBERT, Marie-Anne de Roumier, madame
63.4	Histoire anglaise de milord Feld arrivée à Fontainebleau
63.40	Le danger des liaisons ou mémoires de la baronne de Blémon par madame la M ... de S.A.	SAINT-AUBIN, madame Mézières du Crest, baronne d’Andlau, marquise de
63.41	L’amour éprouvé par la mort ou lettres modernes de deux amans de vieille roche	THIROUX D’ARCONVILLE, Marie-Geneviève-Charlotte Darius, madame
63.42	Le nouvel Abailard ou lettres d’un singe au docteur Abadolfs, traduites de l’allemand	THOREL DE CAMPIGNEULLES, Charles-Claude-Florent de
63.5	Histoire des diables modernes, par Mr. A***
63.6	Histoire de Zulime ou l’origine de l’inconstance
63.7	Lettres d’un citoyen de Genève
63.8	Lettres trouvées dans les papiers d’un père de famille
63.9	Mémoires pour servir à l’histoire de la marquise de Pompadour traduites (sic) de l’anglois
64.1	Adélaïde
64.10	Histoire de Mlle Laure ou la fille devenue raisonnable
64.11	Les loisirs et amusemens de ma solitude, ouvrage moral
64.12	Oeuvres diverses de Monsieur P*** de F., de Saint Domingue
64.13	La tête de mort et le masque d’argent...
64.14	Fanni ou l’heureux repentir, histoire anglaise	ARNAUD, François-Thomas-Marie de Baculard d’
64.2	L’amant auteur et malheureux
64.20	Mémoires d’Azéma, contenant diverses anecdotes des règnes de Pierre le Grand, empereur de Russie et de l’impératrice Catherine son épouse, traduits du russe, par M.C.....D.....	CONTANT D’ORVILLE, André-Guillaume
64.21	L’humanité récompensée par l’amour, ouvrage traduit de l’espagnol	DIGARD DE KERGUETTE, Jean
64.22	Nouveau recueil de pièces en vers et en prose	DUMONT, madame, née Lutel
64.23	Lettres du marquis de Roselle par madame ***	ELIE DE BEAUMONT, Anne-Louise Dumesnil-Molin, madame
64.24	Mémoires d’une provinciale écrits par elle-même	FENESTRE DE HOTOT, Pierre-Alexandre-Eléonor
64.27	L’espion chinois ou l’envoyé secret de la cour de Pékin pour examiner l’état présent de l’Europe, traduit du chinois	GOUDAR, Ange
64.3	L’amour précepteur ou le triomphe de l’infortune
64.30	Mémoires et avantures de dom Inigo de Pascarilla par l’auteur de la Nouvelle Marie-Anne En Espagne & se trouve à	LAMBERT, abbé Claude-François
64.35	Le pêcheur cru Norvégeois, histoire turque, par J.L.J. Molière	MOLIÈRE, J.-L.-J.
