P13	check		P5	1P5	2P5	3P5	4P5								P4					P44			P7	P43				P46			P45									P47			P48			P49			P50			P51		P52		
00.147			VILLEMAIN D’ABANCOURT, François-Jean												Antoine et Jeannette ou les enfans abandonnés, histoire presque véritable		Paris			Roux			1800	an VIII				2t. in-12					JG III 19; JT 5, 10 niv. VIII B Monglond Q Saint-Fargeau Streeter		Les bibliographes donnent la date de 1799. Cet ouvrage a été attribué à tort à Elizabeth Blower ou à Regnault-Warin.					3e personne			France (Orléannais), Amérique (Nouvelle-Angleterre)			Mathurin Blaisot (charbonnier), Antoine, Jeannette, Madame de Vintimes, Madame Dorly, monsieur de Valbonne			voyages, malheurs et aventures de deux orphelines							
00.148			VOIART, Jacques-Philippe												Le canevas à la diable ou la journée d’un amateur, anecdote mise au jour par P.		Paris			marchands de nouveautés			1800	an VIII				in-18					JG III 342; JP 17 vend. IX		B JG: ‘Cet ouvrage présente une critique ingénieuse des drames et des romans endiablés, des palais enchantés, etc. qui ont été lus avec tant d’avidité depuis quelques années.’																					
00.149	t		WALKER, George						LEBAS, P.-L.						Théodore Cyphon et le Juif bienfaisant, par George Walker, auteur de Cinthélia, traduit par P.L. Le Bas		Paris			Tavernier			1800	an 1800				2t. in-12			286, 252p.		Oron+ JP 24 vend. VIII; JT 10 vend., 5 prair. VIII B Monglond Pigoreau O Rochedieu Streeter		Les bibliographes donnent la date de 1799.			Trad. de Théodore Cyphon or the Benevolent Jew, 1796.		3e personne, avec récit intercalé 1re personne			Londres, Indes, Moyen-Orient			Schechem Bensadi, Théodore, Rebecca, M. Collier			voyages et malheurs d’une jeune homme secouru par un Juif			mélancolie, mystères, sensibilité				
00.15															L’enfant chéri des dames		Paris			Lavillette, rue Saint-André-des Arcs, 8			1800	VIII				2t. in-12			220, 220p.		BN+ JG III 181; JT 25 flor. VIII							1re personne			Angleterre			M. Alafort, lord Frangell, Will, ladi Benfield, madame Crammer			les aventures et les amours d’un jeune fugitif							
00.150	t		WEST, Jane												Histoire de Ned Evans, traduit de l’anglais		Paris			Michel et Billois			1800	an 8.-1800.				4t. in-12			232, 248, 250, 241p.		Oron+ JP 28 prair. VIII; JT 25 flor. VIII Rochedieu					Trad. de The History of Ned Evans, a Tale of the Time, 1796.		3e personne			Grande-Bretagne, Amérique			lady Cécilia, Edouard, Ned, Josias, Muckworm, M. et Mme Evans			les amours et aventures de Ned, qui de souche bourgeoise finit par épouser lady Cécilia, suivies de nouvelles péripéties en Amérique			tableau de mœurs, ton sensible et moralisateur				
00.151	t		WEST, Jane						CANTWELL, André-Samuel-Michel						L’histoire d’une commère, traduit de l’anglais sur la troisième édition de Londres par le cit. Cantwell		Paris			And. Aug. Lottin			1800	[non déclaré]				2t. in-12			292, 274p.		Oron+ JT 15 flor. VIII					Trad. de A Gossip’s Story, 1796.		1re personne, avec récit intercalé 1re personne			Angleterre			M. Dudley, Mad. Médium, Mlle Cadanum, lady Séraphine, Louise,...			intrigue mondaine, peinture des mœurs			ton satirique				
00.152	t		WEST, Jane						CHALIN, P.						Histoire du temps ou les mœurs écossaises, traduite de l’anglais sur la seconde édition		Paris			Ducauroy			1800	an VIII-1800				3t. in-12			207, 192, 179p.		BN+ JP 2 mess., 18 therm. VIII; JT 10 mess. VIII Monglond		Les t. 11 et III de l’exemplaire de la BN ont un faux titre: Collection de romans nouveaux, tome quatrième (cinquième). V. aussi 00.90.			Trad. de A Tale of the Times, 1799.		3e personne			Ecosse			James Monteith, lady Arabella, sir William de Powerscrout, Géraldine, M. Evan			histoires de famille, malheurs			ton léger				
00.153	t		WIELAND, Christoph Martin												Histoire du sage Danischmend, favori du sultan Scha-Gebal, et des trois calenders ou l’égoïste et le philosophe, traduit de l’allemand de Wieland, avec figures		Paris			P.D. Barez, Charles Pougens			1800	an VIII (1800)				2t. in-8			viii + iv + 267. viii + 244p.		BN+ JP 25 therm. VIU: JT 5 fruct. VIII Gay Monglond Steinberger					Trad. de Geschichte des weisen Danischmende. 1795.		3e personne, avec récits 1re personne			Indes			Scha-Gebal, Danischmend, Périsadeh, Zeineb, Féridun			un sage part à la recherche du bonheur			thèmes philosophiques				
00.154	t		WIELAND, Christoph Martin						HOLBACH, le baron d’, fils						Obéron ou les aventures de Huon de Bordeaux, par Wieland, traduction nouvelle		Paris			Petit et les marchands de nouveautés			1800	an 8.-1800				in-8			232p.		BN Genève+ JP 1, 6 prair. VIII Q Steinberger		Une autre version en prose a été publiée cette même année par Pernay (v.00.155). Les traductions de Boaton ( 1784) et de Borch ( 1798) sont en vers.			Trad. de Oberon, ein Gedicht in vierzehn Gesangen. 1780.																		
00.155	mnt		WIELAND, Christoph Martin						PERNAY, F.-Daniel						Oberon, poème en quatorze chants traduit de l’allemand de Wieland, par F.D. Pemay, auteur de Pietro d’Alby et Gianetta et de Wilhelmine		Paris			Desenne, Fuchs			1800	[non déclaré]				in-12			460p.		BN+ JP 4 germ. VIII; Veillées III 12 an IX 188		La traduction, quoiqu’en prose, est découpée en paragraphes numérotés correspondant aux strophes du poème. Une autre version en prose a été publiée cette même année par d’Holbach (v. 00.154).			Trad. de Oberon, ein Gedicht in vierzehn Gesangen, 1780.		3e personne			Liban, Arabie (moyen âge)			Huon, Sherasmin, Rézia, Fatmé			aventures chevaleresques et sentimentales			éléments merveilleux, prose poétique				
00.16															L’enfant du bordel		Paris						1800	1800				2t. in-18			152, 132p.		BN+ Gay Monglond		Gay donne le lieu d’impression comme étant: Londres (Paris). L’attribution de cet ouvrage à Mirabeau ou à Pigault-Lebrun semble douteuse. Pour les diverses éditions publiées après 1820, v. Gay et la notice des A ventures de Chérubin, l’enfant du bordel..., Cythcre, à l’enseigne de la volupté, s.d. (XIXe siècle), 183p. (BNt).					1re personne			Paris			le comte de B......Cécile, Geneviève, la Florimont, Chérubin, Félicité			aventures lubriques			précisions pornographiques				
00.17															Les épreuves de la maternité		Paris			Desenne			1800	an VIII				in-12			340p.		JG II 343; JP 21 brum. VIII; JT 25 vend. VIII JP:		‘Ce roman, en forme de lettres est écrit avec agrément.. & l’intérêt se soutiendrait jusqu’à la fin, si les événemens, ainsi que dans le commencement étoient toujours naturels’.																					
00.18															Euphémie ou la perfidie réparée, par M. D***		Paris			And.-Aug. Lottin			1800	an 1800				in-12			283p.		Oron+ JG III 273; JT 20 therm. VIII							3e personne			Midi de la France			monsieur et madame de Verneuil, Euphémie, Henri, le comte de Sernay, Juliette			intrigues domestiques, amours criminelles, aventures			peinture des mœurs, ton sentimental				
00.19															Les femmes démasquées ou le vrai remède d’amour, par M***, l’ami du vrai		Paris			Tiger			1800	Comme la plupart des ouvrages publiés par Tiger, ce livre semble avoir paru vers 1800.				in-18			107p.		BM+ Gay		Comme la plupart des ouvrages publiés par Tiger, ce livre semble avoir paru vers 1800.					1re personne, dialogues et lettres												ton satirique		pp. 5-96, le vieillard Aristée donne au jeune Adolphe des ‘leçons’ sur les femmes et l’amour; 97-106, l’histoire d’un mari trompé, racontée en lettres		
00.2	t														Adelina ou l’innocence persécutée, traduit de l’anglais par le cit. Ch**		Paris			Lottin			1800	an VIII				2t. in-12					JG II 251, 343; JT 1 vend. VIII		Nous ne connaissons pas l’original anglais de cet ouvrage.																					
00.20	t														Franz ou le chasseur, traduit de l’allemand		Paris			H. Nicolle			1800	an VIII				2t. in-12$			218, 159p.		Oron JT 25 flor. VII; Mag. enc. V		1799 ii 430 Nous ne connaissons pas l’original allemand de cet ouvrage.					3e personne			Allemagne			Franz, le baron de Hertzig, le pasteur Rollman, Joséphine, Schmetters, le comte de Frohberg			voyages et aventures d’un assassin involontaire			ton moralisateur				
00.21															Frédéric et Jenny ou l’enfant de la sacristie, par J.M.G**		Paris			au cabinet de lecture de Sombert et se trouve chez Maradan			1800	an VIII				in-12			216 p.		BN JG III 19; JP 15 vent. VIII: JT 20 frim. VIII; Mag. enc. V 1799 vi 144 Monglond							1re personne			province (Bretagne, Sens, Marseille, Avignon...)			M. Gérard (curé), mademoiselle Fanchette (sa gouvernante), Jenny, madame d’Arcis, Valcour			voyages, amours et aventures d’un jeune homme			ton satirique				
00.22															Honorina ou les malheurs de l’hymen, par Mme de M***		Paris			Michelet			1800	an VIII				2t. in-18					JG III 311 ; JP 8 brum. IX; JT 5 fruct. VIII																							
00.23															Isménie ou les crimes de la jalousie		Paris			Coger et Gueffier			1800	an VIII				in-12			203 p.		JG III 19, 49-50; JT 20 niv., 10 vent., 30 frim. VIII Monglond																							
00.24															Melcour et Sophie ou l’époux malheureux		Paris			Morin			1800	an VIII				in-12					JG III 19; JP 21 frim. VIII		JP donne l’adresse: Drost aîné, Pigoreau, Millet.																					
00.25															La méprise ou l’enfant de ma mère, par M.P.M.D.		Paris			Drost, Pigoreau, Borniche			1800	1800				in-12					JP 29 frim. IX		Monglond, qui cite un catalogue de libraire																					
00.26															Mistriss Walter ou nouvelle et dernière suite de Simple histoire, par madame S**		Paris			Louis			1800	/an VIII/				2t. in-18			?, 135p.		BASL+ (t. I mq.; date supprimée) JG III 111 ; JP 3 vent. VIII; JT 20 pluv. VIII; Veillées III 8 an IV 184 Monglond		Cet ouvrage se donne pour une suite du roman de madame Inchbald (v. 91.28)					3e personne			Angleterre			le docteur Wilman, Sandford, mistriss Walter (= lady Elmwood), lord Elmwood, lady Mathilde, George Belton,...			histoires de famille			bienfaisance, sensibilité				
00.27	t?														Ozélia ou la morte vivante, traduit de l’anglais, avec figure		Paris			Imbert			1800	an VIII (1799,)				in-18			159p.		Oron+ Monglond		Nous n’avons pu trouver d’original anglais.					3e personne			Italie (XVe siècle)			Ozélia, le comte Foelizer Del-Aminto, Panolphe, Sylvia			amours passionnées			roman noir		Pp. 133-159, L’insensible touché (conte moral).		
00.28															Le père barbare ou histoire d’Amédée, écrite par elle-même		Paris			Jouaneaux et Sombert			1800	1800.-9.				2t. in-12			192,204p.		Oron+							1re personne			France, Suisse			Amédée, Maurice, le chevalier d’Harcourt, madame de Villiers, le duc de Mortimer			aventures romanesques et sombres (les malheurs d’une jeune fille dont le père est trop sévère)			ton sentimental et moralisateur				
00.29															Rosabelle ou la caverne galloise, par M.P.F.B......de Lyon		Paris			chez Ancelle			1800	an VIII				2t. in-12			196p.		BN+ JT 15 flor. VIII							3e personne, avec récits 1re personne			France, pays de Galles			sir Charles, Rosabelle, lord Roderic Hunster			aventures romanesques et mystérieuses							
00.3	t?														Les affreux effets de l’amour, de la jalousie et de la vengeance, roman historique traduit de l’anglais et de l’espagnol par J. P**		Paris						1800	[non déclaré]				2t. in-12					Kjuloholm JG III 238, 310; JT 15 therm. VIII Björkenheim Gay Streeter		Delcro donne la date de 1809. Streeter ne donne pas d’original anglais pour cet ouvrage.																					
00.30															Roseide et Valmor ou les victimes de l’orgueil, traduit de l’anglais de sir Horace Walpole, par F. Beauharnay		Paris			Ancelle			1800	an VIII				2t. in-18					JT 20 pluv. VIII		Ce titre se trouve également dans une annonce du libraire Ancelle relié à la fin de Rosabelle... (00.29) (BN). L’allusion dans le titre à Walpole et à Fanny de Beauharnais semble être fantaisiste.																					
00.31															Sidney et Worton, histoire anglaise par de S***		Paris			Jouanaux			1800	an VIII				in-12					JP 23 pluv. VIII; JT 10 niv. VIII																							
00.32	t?		?						F. MARÉCHAL						Socivizca ou histoire d’un fameux chef de brigands, traduit sur la dernière édition par M.F. Maréchal		Paris			Devaux			1800	VIII				in-18					JP 27 flor. VIII; JT 15 flor. VIII Monglond Q		Monglond classe cet ouvrage parmi les romans, mais il se peut qu’il s’agisse d’une biographie du bandit dalmatien, comme c’est le cas pour: Histoire de Socivizca, fameux brigand de la nation des Morlaques, appelles Monténégrins,... traduite de l’italien par Mr. Marc Chapuis Fr***, Herne, Société typographique, 1777, pet. in-8, viii + 98p. (BM+).																					
00.33	t														Les soirées de l’Hermitage, contes traduits de l’anglais pour l’instruction et l’amusement de la jeunesse		Genève & Paris			J.J. Paschoud & Fuchs			1800	VIII				2t. in-12			xii + 248, 230p.		Genève Lausanne+ Oron+ JP 7 prair. VIII; JT 25 vent. VIII; Mag. enc. VI 1800 i 144 Monglond		Mag. enc.: ‘Cet ouvrage est un recueil d’historiettes traduites de l’anglois en assez mauvais françois. La tournure des phrases et les anglicismes fréquens qu’on y rencontre, font présumer que cette traduction est l’ouvrage d’un étranger’. Douze contes moraux.																					
00.34															Le somnambule financier ou le roman véritable de la paix, de la gloire et de la prospérité		Paris			Marchant			1800	an VIII				in-18			90p.		JG III 180																							
00.35															Souvenirs d’Ernest dédiés à trois jolies femmes		Paris			Maradan			1800	8				in-12			188p.		Oron+ JG III 239; JP 6 fruct. VIII; JT 15 therm. VIII							1re personne			France			Ernest, madame Déville, Julie, madame Dalbert, monsieur et madame de Verneuil, ...			éducation sentimentale			ton léger				
00.36															Le Tartuffe révolutionnaire, imité de l’anglais par madame ****		Paris			à la librairie, rue Saint-André-des-Arcs, N°46			1800	an VIII-1800				2t. in-12			x + 218, 182p.		BN+ JG III 341; JT 20 bmm. IX Streeter		Traduction supposée, selon Streeter. JG: ‘L’auteur a voulu peindre les mœurs d’une certaine époque de la Révolution, mais il a transporté la scène en Angleterre’.					3e personne, avec récits intercalés 1re personne			Angleterre (époque de la Guerre Civile)			le lord Balmérino, Jhonn, mistris Damby, Cornélia, Rollando			aventures romanesques, malheurs							
00.38	nt		ACHILLES TATIUS						CLÉMENT, Jean-Marie-Bernard						Les amours de Leucippe et de Clitophon, nouvellement traduit du grec d’Achilles Tatius		Paris			Colnet			1800	an VIII				in-12			viii + 184p.		Copenhague JG III 238; JT 10 mess. VIII: JP 23 fruct. VIII JT:		‘Ce roman est rempli de descriptions voluptueuses dont le charme sera facilement senti par tous les cœurs sensibles’. Pour la version de Duperron de Castéra, v. 97.R12.																					
00.39			ANDRÉ, Jean-François	SÉRIEYS, Antoine											Le comte d’A**** ou les aventures d’une jeune voyageur sorti de la cour de France en 1789, ouvrage publié d’après le manuscrit original		Paris			Monory			1800	an VIII				2 part, in-12			12 + 215, 12 + 216p.		BN+ JP 11 prair. VIII; JT 25 flor. VIII Monglond Q							1re personne, avec récits intercalés 1re personne			France, Suisse, Italie, Levant, Portugal, Angleterre (époque de la Révolution)			Ursule, Hiany, Maria, le capitaine Martin			voyages et aventures romanesques							
